pair,tier,time,vol_z,pnl,hours_held
JSTUSDT,mid,2025-02-28 04:00:00+00:00,4.46,0.026756318859365028,36
JSTUSDT,mid,2025-03-19 02:00:00+00:00,3.19,-0.05500000000000004,34
JSTUSDT,mid,2025-04-02 07:00:00+00:00,4.33,-0.032153558052434465,36
JSTUSDT,mid,2025-04-06 16:00:00+00:00,3.58,-0.05500000000000004,8
JSTUSDT,mid,2025-04-27 07:00:00+00:00,3.98,-0.05500000000000004,16
JSTUSDT,mid,2025-04-28 05:00:00+00:00,3.1,0.10999999999999999,2
JSTUSDT,mid,2025-04-28 11:00:00+00:00,3.17,-0.05500000000000015,15
JSTUSDT,mid,2025-06-16 12:00:00+00:00,3.46,-0.015222489476849118,36
JSTUSDT,mid,2025-07-29 23:00:00+00:00,3.68,-0.05500000000000004,2
JSTUSDT,mid,2025-07-30 19:00:00+00:00,3.06,-0.05500000000000004,29
JSTUSDT,mid,2025-08-25 07:00:00+00:00,4.54,0.010000000000000123,17
JSTUSDT,mid,2025-10-11 13:00:00+00:00,3.1,0.018414634146341483,36
JSTUSDT,mid,2025-10-14 06:00:00+00:00,3.04,0.005658307210031248,36
JSTUSDT,mid,2025-12-05 11:00:00+00:00,3.37,-0.009980079681274897,36
JSTUSDT,mid,2026-01-19 00:00:00+00:00,4.04,0.024727704221833572,36
JSTUSDT,mid,2026-02-02 03:00:00+00:00,3.54,0.008401559454190969,36
JSTUSDT,mid,2026-02-06 00:00:00+00:00,3.69,0.0610189694950013,36
JSTUSDT,mid,2026-04-02 02:00:00+00:00,3.3,-0.03449898548462626,36
JSTUSDT,mid,2026-04-21 13:00:00+00:00,3.41,0.05120520558279907,36
JSTUSDT,mid,2026-05-01 17:00:00+00:00,3.2,-0.05500000000000004,34
JSTUSDT,mid,2026-06-02 20:00:00+00:00,3.45,-0.05500000000000004,10
JSTUSDT,mid,2026-06-03 19:00:00+00:00,3.11,-0.05500000000000004,5
JSTUSDT,mid,2026-06-04 01:00:00+00:00,3.08,0.07633779264214058,36
JTOUSDT,mid,2025-01-18 09:00:00+00:00,3.76,0.02832899446794668,36
JTOUSDT,mid,2025-02-21 17:00:00+00:00,3.1,-0.05500000000000004,2
JTOUSDT,mid,2025-05-30 19:00:00+00:00,3.55,-0.05499999999999993,5
JTOUSDT,mid,2025-06-04 10:00:00+00:00,5.8,-0.05500000000000004,28
JTOUSDT,mid,2025-06-11 01:00:00+00:00,3.43,0.009999999999999901,33
JTOUSDT,mid,2025-06-16 05:00:00+00:00,3.11,-0.05500000000000004,7
JTOUSDT,mid,2025-07-21 08:00:00+00:00,3.03,0.045767790262172155,36
JTOUSDT,mid,2025-08-27 18:00:00+00:00,3.14,0.0004699154649426872,36
JTOUSDT,mid,2025-09-11 07:00:00+00:00,3.03,0.06710272873194223,36
JTOUSDT,mid,2025-09-12 23:00:00+00:00,3.43,-0.03696803196803188,36
JTOUSDT,mid,2025-10-17 05:00:00+00:00,3.89,-0.05500000000000004,2
JTOUSDT,mid,2025-12-20 14:00:00+00:00,3.77,-0.018927576601671322,36
JTOUSDT,mid,2026-01-02 12:00:00+00:00,4.77,0.04522831050228316,36
JTOUSDT,mid,2026-01-20 23:00:00+00:00,3.19,-0.002032640949554905,36
JTOUSDT,mid,2026-01-25 10:00:00+00:00,3.73,0.010000000000000123,6
JTOUSDT,mid,2026-01-26 04:00:00+00:00,4.35,0.08115384615384602,36
JTOUSDT,mid,2026-01-28 05:00:00+00:00,4.51,0.10999999999999999,4
JTOUSDT,mid,2026-01-28 18:00:00+00:00,3.02,-0.05500000000000004,1
JTOUSDT,mid,2026-01-29 00:00:00+00:00,3.54,-0.05500000000000004,2
JTOUSDT,mid,2026-03-23 19:00:00+00:00,4.35,-0.05500000000000015,4
JTOUSDT,mid,2026-03-25 07:00:00+00:00,3.02,-0.05500000000000004,1
JTOUSDT,mid,2026-04-13 09:00:00+00:00,4.39,-0.042589313451382386,36
JTOUSDT,mid,2026-04-26 09:00:00+00:00,3.18,-0.05500000000000004,21
JTOUSDT,mid,2026-05-06 16:00:00+00:00,3.21,-0.05500000000000004,7
JTOUSDT,mid,2026-05-07 19:00:00+00:00,3.94,-0.05500000000000004,1
JTOUSDT,mid,2026-05-08 03:00:00+00:00,4.43,-0.05500000000000004,9
LIT-USDT,mid,2026-01-23 04:00:00+00:00,3.97,-0.05500000000000004,6
LIT-USDT,mid,2026-01-27 09:00:00+00:00,3.07,-0.0001560818083962091,36
LIT-USDT,mid,2026-01-29 11:00:00+00:00,3.29,-0.05500000000000004,4
LIT-USDT,mid,2026-01-29 20:00:00+00:00,3.6,0.0420164734594265,36
LIT-USDT,mid,2026-05-21 15:00:00+00:00,3.45,-0.05500000000000004,1
MEGAUSDT,tiny,2026-05-23 05:00:00+00:00,3.66,-0.05499999999999993,2
MEGAUSDT,tiny,2026-05-23 09:00:00+00:00,5.6,-0.036968160225959716,36
MEGAUSDT,tiny,2026-05-29 04:00:00+00:00,3.43,-0.05500000000000004,8
MEGAUSDT,tiny,2026-06-14 18:00:00+00:00,3.72,0.010000000000000123,30
MEGAUSDT,tiny,2026-06-17 13:00:00+00:00,3.98,0.10999999999999999,13
MEGAUSDT,tiny,2026-06-22 12:00:00+00:00,4.73,-0.05500000000000004,20
MEGAUSDT,tiny,2026-06-24 06:00:00+00:00,3.59,-0.05500000000000004,3
PENGUUSDT,mid,2025-03-13 12:00:00+00:00,3.73,-0.05500000000000015,9
PENGUUSDT,mid,2025-06-13 10:00:00+00:00,3.37,0.006053795136330091,36
PENGUUSDT,mid,2025-06-28 13:00:00+00:00,3.31,0.10999999999999999,5
PENGUUSDT,mid,2025-06-30 04:00:00+00:00,3.07,0.010000000000000123,8
PENGUUSDT,mid,2025-07-01 01:00:00+00:00,3.17,0.10999999999999976,29
PENGUUSDT,mid,2025-07-11 20:00:00+00:00,3.13,-0.05500000000000004,2
PENGUUSDT,mid,2025-09-17 18:00:00+00:00,3.24,0.10999999999999999,14
